up,n,k,gap,down
0.5,0.8,50,180,1.64
0.5,0.6,200,240,1.03
0.5,0.2,150,300,0.93
0.5,0.5,100,360,0.33
0.5,0.4,10,420,0.56
0.7,0.5,200,180,1.7
0.7,0.4,100,240,1.26
0.7,0.6,50,300,0.9
0.7,0.2,10,360,1.25
0.7,0.8,150,420,0.17
1,0.2,100,180,1.96
1,0.8,10,240,1.92
1,0.4,200,300,1.23
1,0.6,150,360,0.74
1,0.5,50,420,0.27
1.3,0.6,10,180,2.88
1.3,0.5,150,240,2.22
1.3,0.8,100,300,1.59
1.3,0.4,50,360,1.03
1.3,0.2,200,420,0.13
1.5,0.4,150,180,3.03
1.5,0.2,50,240,2.59
1.5,0.5,10,300,1.97
1.5,0.8,200,360,1.28
1.5,0.6,100,420,0.54
